week_window_start,week_window_end,event_id,event_date,home_team_id,home_team,away_team_id,away_team,team_id,team_name,player_id,player_name,position,college,hometown,years_experience
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,3043136,Leonard Floyd,DE,Georgia,"{'city': 'Eastman', 'state': 'GA', 'country': 'USA'}",10
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,3050916,Mike Ford Jr.,CB,Southeast Missouri State,"{'city': 'Alton', 'state': 'IL', 'country': 'USA'}",8
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,3059620,Morgan Fox,DE,Colorado State-Pueblo,"{'city': 'Fountain', 'state': 'CO', 'country': 'USA'}",9
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4040613,Jordan Fuller,S,Ohio State,"{'city': 'Old Tappan', 'state': 'NJ', 'country': 'USA'}",6
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4262197,Ta'Quon Graham,DT,Texas,"{'city': 'Temple', 'state': 'TX', 'country': 'USA'}",5
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4426412,Zach Harrison,DE,Ohio State,"{'city': 'Lewis Center', 'state': 'OH', 'country': 'USA'}",3
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,3859006,Ronnie Harrison Jr.,S,Alabama,"{'city': 'Tallahassee', 'state': 'FL', 'country': 'USA'}",8
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4567111,DeMarcco Hellams,S,Alabama,"{'city': 'Washington', 'state': 'DC', 'country': 'USA'}",3
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4240596,C.J. Henderson,CB,Florida,"{'city': 'Miami', 'state': 'FL', 'country': 'USA'}",6
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,3895841,Mike Hughes,CB,UCF,"{'city': 'New Bern', 'state': 'NC', 'country': 'USA'}",8
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4034849,Lamar Jackson,CB,Nebraska,"{'city': 'Elk Grove', 'state': 'CA', 'country': 'USA'}",3
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4051069,Caleb Johnson,LB,Houston Christian,"{'city': 'San Diego', 'state': 'CA', 'country': 'USA'}",5
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4039029,Khalid Kareem,LB,Notre Dame,"{'city': 'Detroit', 'state': 'MI', 'country': 'USA'}",4
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4572538,Nick Kubitz,LB,North Dakota State,"{'city': 'Dubuque', 'state': 'IA', 'country': 'USA'}",
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4376288,LaCale London,DE,Western Illinois,"{'city': 'Peoria', 'state': 'IL', 'country': 'USA'}",2
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4243457,DeAngelo Malone,LB,Western Kentucky,"{'city': 'Atlanta', 'state': 'GA', 'country': 'USA'}",4
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4430805,Dontae Manning,CB,Oregon,"{'city': 'Kansas City', 'state': 'MO', 'country': 'USA'}",
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4002046,David Onyemata,DT,Manitoba,"{'city': 'Lagos', 'country': 'Nigeria'}",10
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4430271,Ruke Orhorhoro,DT,Clemson,"{'city': 'Lagos', 'country': 'Nigeria'}",2
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,5081394,James Pearce Jr.,LB,Tennessee,"{'city': 'Charlotte', 'state': 'NC', 'country': 'USA'}",
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4360274,Ronnie Perkins,LB,Oklahoma,"{'city': 'St. Louis', 'state': 'MO', 'country': 'USA'}",4
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4429067,Clark Phillips III,CB,Utah,"{'city': 'Lakewood', 'state': 'CA', 'country': 'USA'}",3
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,3116726,Kentavius Street,DT,NC State,"{'city': 'Greenville', 'state': 'NC', 'country': 'USA'}",7
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4243332,Keith Taylor,CB,Washington,"{'city': 'Long Beach', 'state': 'CA', 'country': 'USA'}",4
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4239995,A.J. Terrell Jr.,CB,Clemson,"{'city': 'Atlanta', 'state': 'GA', 'country': 'USA'}",6
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4259346,Josh Thompson,S,Texas,"{'city': 'Nacogdoches', 'state': 'TX', 'country': 'USA'}",2
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4428713,Bralen Trice,LB,Washington,"{'city': 'Phoenix', 'state': 'AZ', 'country': 'USA'}",2
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4684636,Malik Verdon,S,Iowa State,"{'city': 'Cincinnati', 'state': 'OH', 'country': 'USA'}",
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4685597,Jalon Walker,LB,Georgia,"{'city': 'Salisbury', 'state': 'NC', 'country': 'USA'}",
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4431005,Xavier Watts,S,Notre Dame,"{'city': 'Omaha', 'state': 'NE', 'country': 'USA'}",
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,3128303,Josh Woods,LB,Maryland,"{'city': 'Baltimore', 'state': 'MD', 'country': 'USA'}",6
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,3049899,Younghoe Koo,PK,Georgia Southern,"{'city': 'Ridgewood', 'state': 'NJ', 'country': 'USA'}",8
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,5277116,Lenny Krieg,PK,,"{'city': 'Berlin', 'country': 'Germany'}",
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,3915528,Liam McCullough,LS,Ohio State,"{'city': 'Columbus', 'state': 'OH', 'country': 'USA'}",3
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,2977680,Bradley Pinion,P,Clemson,"{'city': 'Concord', 'state': 'NC', 'country': 'USA'}",11
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4035389,Grayland Arnold,S,Baylor,"{'city': 'Kountze', 'state': 'TX', 'country': 'USA'}",5
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,4360230,Emory Jones,QB,Cincinnati,"{'city': 'LaGrange', 'state': 'GA', 'country': 'USA'}",1
2025-08-14,2025-08-18,401773017,2025-08-15T23:00Z,1,Atlanta Falcons,10,Tennessee Titans,1,Atlanta Falcons,3929922,Tyrone Wheatley Jr.,OT,Morgan State,"{'city': 'Buffalo', 'state': 'NY', 'country': 'USA'}",2
